img,name,option,component
/자연은/images/제품소개/싱그런세트.png,싱그런 음료세트,오렌지 / 포도 /알로에,180mL x 12병
/자연은/images/제품소개/종합세트.png,종합 음료세트,알로에 / 토마토 / 제주감귤,180mL x 12병
/자연은/images/제품소개/제주감귤세트.png,제주감귤 세트,제주감귤,180mL x 12병
/자연은/images/제품소개/오렌지세트.png,오렌지100 세트,오렌지100,180mL x 12병
/자연은/images/제품소개/포도세트.png,포도 세트,포도,180mL x 12병
/자연은/images/제품소개/아름드리세트.png,아름드리 음료세트,알로에 / 포도 / 제주감귤,180mL x 12병
/자연은/images/제품소개/프리미엄세트.png,프리미엄 음료세트,석류 / 포도 / 사과,180mL x 12병
/자연은/images/제품소개/석류세트.png,석류 세트,석류,180mL x 12병
/자연은/images/제품소개/당근세트.png,당근 세트,당근,180mL x 12병
/자연은/images/제품소개/복분자세트.png,복분자 세트,복분자,180mL x 12병
