img,name,option,component
/자연은/images/제품소개/알로에.png,자연은 알로에,"180mL 병
340mL PET
500mL PET
1.5L PET","알로에 41% [알로에베라겔즙 8%(태국산), 알로에베라겔 33%(멕시코산)]"
/자연은/images/제품소개/석류.png,자연은 석류,180mL 병 1.5L PET,석류농축액 4.247 %(고형분 65 %) [석류과즙 23 %]
/자연은/images/제품소개/제주감귤.png,자연은 제주감귤,180mL 병 500mL PET 1.5L PET, 감귤농축액 7.5 %(고형분 60 %)[감귤과즙 50 %]
/자연은/images/제품소개/오렌지100.png,자연은 오렌지100,180mL 병  1.5L PET," 오렌지농축액 16.924 %(고형분 65 %)[오렌지과즙 100 %](천연향료, 비타민C, 구연산, 합성향료, 스테비올배당체 포함)"
/자연은/images/제품소개/고칼슘오렌지100.png,자연은 고칼슘오렌지100,180mL 병 500mL PET 1.5L PET,"오렌지농축액 17.6 %(고형분 65 %)[오렌지과즙 100 %](젖산칼슘, 합성향료, 구연산, 천연향료, 비타민C, 구연산삼나트륨, 스테비올배당체 포함)"
/자연은/images/제품소개/당근100.png,자연은 당근100,180mL 병  1.5L PET,"당근농축액 17.204 %(배합함량 : 당근 99.65 %)[당근즙으로 100 %](구연산, 합성향료, 비타민C, 스테비올배당체 포함)"
/자연은/images/제품소개/납작복숭아.png,자연은 납작복숭아,340mL PET,"복숭아농축퓨레 4.29 %(고형분 31 %)[복숭아과즙 19 %], 납작복숭아과즙 1.14 %(고형분 10%)"
/자연은/images/제품소개/샤인머스캣.png,자연은 샤인머스캣,340mL PET  500mL PET 1.5L PET,"백포도농축액 1.6177 %(고형분 68 %)[백포도과즙 10 %], 천연향료(샤인머스캣향) 0.02 %,알로에베라겔즙 5 %(알로에베라겔절편 45 % 함유)"
/자연은/images/제품소개/토마토.png,자연은 토마토,,
/자연은/images/제품소개/블루베리.png,자연은 블루베리,180mL 병  1.5L PET,블루베리농축액 1.54 %(고형분 65 %)[블루베리과즙 10 %]
/자연은/images/제품소개/복분자.png,자연은 복분자,,
/자연은/images/제품소개/포도100.png,자연은 포도100,180mL 병 500mL PET  1.5L PET,"포도농축액 16.985 %(고형분 68 %)[포도과즙 100 %](합성향료, 구연산, 비타민C, 스테비올배당체 포함)"
/자연은/images/제품소개/사과100.png,자연은 사과100,180mL 병  500mL PET  1.5L PET," 사과농축액 15.714 %(고형분 70 %)[사과과즙 100 %](합성향료, 구연산, 비타민C, DL-사과산, 스테비올배당체 포함)"
/자연은/images/제품소개/망고.png,자연은 망고,180mL CAN  1.5L PET,망고농축퓨레 10 %(고형분 28 %)[망고과즙 20 %]
/자연은/images/제품소개/배.png,자연은 배,1.5L PET,배퓨레 12 % [배 99.95 %]
/자연은/images/제품소개/타르체리.png,자연은 타르체리,1.5L PET,몽모랑시 타트체리 주스농축액 2.1539 %(고형분 65 %)[타트체리과즙 10 %]
